specimen_number,mean_PI,mean_buds,mean_flowers,mean_spent,mean_immature,mean_mature,flowers_present,fruit_present
DAV300361,2.4050549450000003,1.8,1.6,2.8,0.4,0.2,y,y
DAV300362,NA,NA,NA,NA,NA,NA,y,n
DAV300363,2.058823529,7,4,4,2,0,y,y
DAV300364,3.285714286,0,2,1,4,0,y,y
DAV300366,1.7222222219999999,2,2,0.3333333333333333,0.3333333333333333,0,y,y
DAV300367,1.276190476,3,1,0.25,0,0,y,n
DAV300368,1.9264264263333333,5.666666666666667,5.333333333333333,2.3333333333333335,1.3333333333333333,0,y,y
DAV300369,1.1875,2.25,0.5,0,0,0,y,n
DAV300370,1.4733333332,2,1.4,0.2,0,0,y,n
DAV300371,1.4444444443333333,3.6666666666666665,2,0,0.3333333333333333,0,y,y
DAV300372,2,5,3,1,2,0,y,y
DAV300373,2,1.6666666666666667,2,0.3333333333333333,0.6666666666666666,0,y,y
DAV300374,2.4047619048571427,0.5714285714285714,0.8571428571428571,0.42857142857142855,0.7142857142857143,0,y,y
DAV300376,1.3095238096666666,3.3333333333333335,1.6666666666666667,0,0,0,y,n
DAV300377,3.333333333,4,9,1,15,7,y,y
DAV300378,2.1587301586,4.2,3.8,2.2,1.4,0.4,y,y
DAV300379,2.2619047616666665,2,2.6666666666666665,1.6666666666666667,0.6666666666666666,0.3333333333333333,y,y
DAV300380,3.25,0,3,0,5,0,y,y
DAV300382,1.3833333332307691,2.1538461538461537,1.0769230769230769,0,0,0,y,n
DAV300383,3.2916666665000003,0.5,0.5,2,1,1,y,y
DAV300384,2.2,1,3,0,1,0,y,y
DAV300385,1.6892857142,2.2,1.8,0.2,0.4,0,y,y
DAV300386,3.1205357145,2.5,4,3.5,5,3.5,y,y
DAV300387,3.58522727275,0.75,0.75,0.75,1.5,2.25,y,y
DAV300388,2.1623076924,1.6,1.4,1.8,0.6,0,y,y
DAV300389,1.58,2.4,2.2,0.2,0,0,y,n
DAV300390,2.7724867726666664,1.6666666666666667,2.3333333333333335,2,3.6666666666666665,0.3333333333333333,y,y
DAV300391,2.25,3,2,1,1.5,0,y,y
DAV300392,2.692307692,7,4,8,4,3,y,y
DAV300393,NA,NA,NA,NA,NA,NA,y,y
DAV300394,1.65,2,2,0.5,0,0,y,n
DAV300395,2.246875,8.5,8,3,5.5,1,y,y
DAV300396,2.74166666675,0.75,2,0.5,1,1,y,y
DAV300397,2.619047619,7,2,5,6,1,y,y
DAV300399,2.625,1,1,1,0.5,0.5,y,y
DAV300400,3.545138889,1.5,1.5,4,6.5,3.5,y,y
DAV300401,2.833333333,2,5,5,6,0,y,y
DAV300404,1.5555555555,9.5,1.5,1,1.5,0,y,y
DAV300405,2.477272727,11,11,13,8,1,y,y
DAV300406,1.4285714286666666,4,2,0,0,0,y,n
DAV300407,3.018181818,8,15,10,12,10,y,y
double check,4,3,4,4,9,21,y,y
HSC201461,3.11395202,5,3,3.25,5.5,3,y,y
HSC201462,2,13,8,2.5,3,1.5,y,y
HSC201463,2.2909523808000003,1.8,1.2,0,1.6,0,y,y
HSC201464,2.25,12,5,0.5,2,0,y,y
HSC201465,NA,NA,NA,NA,NA,NA,y,n
HSC201466,2.9262626262499998,1,2.25,1.75,1.25,1,y,y
HSC201467,1.80952381,13,3,1,4,0,y,y
HSC201468,3.43973214275,0.25,2,1.75,4,2.25,y,y
HSC201469,2.305555556,11,11,9,2,3,y,y
HSC201470,2.53988604,4,7.5,2,4,2.5,y,y
HSC201471,2.5,1,2.5,0.5,2.5,0.5,y,y
HSC201472,2.15450851375,8.75,5.75,3.25,2,1,y,y
HSC201473,2.7083333334999997,2.75,2.25,0.5,2,0,y,y
HSC201474,2.5277777776666666,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.3333333333333333,y,y
HSC201475,2.866666667,2,4,4,4,1,y,y
HSC201476,3.333333333,0,1,1,0,1,y,y
HSC201477,2.7577639754999996,2.5,4,3,3,2.5,y,y
HSC201478,2.470833333333333,3.6666666666666665,3.3333333333333335,2.3333333333333335,2.6666666666666665,0.6666666666666666,y,y
HSC201479,2.2285714285,4,2,2.5,2,0.5,y,y
HSC201480,1.76215277775,2.875,2.5,0.25,0.25,0,y,y
HSC201481,2.4333333335000003,1.5,3,0.5,1.5,0,y,y
HSC201482,2.4855072465,3.5,3.5,2,6,1,y,y
HSC201483,1.8041666665,6.5,7,0.5,1.5,0,y,y
HSC201484,1.5761904759999998,2.75,2,0.25,0.25,0,y,y
